AREA_NM,AREA_CONGEST_LVL,AREA_CONGEST_MSG,AREA_PPLTN_MIN,AREA_PPLTN_MAX,MALE_PPLTN_RATE,FEMALE_PPLTN_RATE,PPLTN_RATE_0,PPLTN_RATE_10,PPLTN_RATE_20,PPLTN_RATE_30,PPLTN_RATE_40,PPLTN_RATE_50,PPLTN_RATE_60,PPLTN_RATE_70,RESNT_PPLTN_RATE,NON_RESNT_PPLTN_RATE,REPLACE_YN,PPLTN_TIME,WEATHER_TIME,TEMP,SENSIBLE_TEMP,MAX_TEMP,MIN_TEMP,HUMIDITY,WIND_DIRCT,WIND_SPD,PRECIPITATION,PRECPT_TYPE,PCP_MSG,SUNRISE,SUNSET,UV_INDEX_LVL,UV_INDEX,UV_MSG,PM25_INDEX,PM25,PM10_INDEX,PM10,AIR_IDX,AIR_IDX_MVL,AIR_IDX_MAIN,AIR_MSG,NOW
강남 MICE 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,24000,26000,46,54,0,4,24,30,22,12,5,2,29,71,N,2022-12-19 14:15,2022-12-19 14:51,-2.8,-3,-2,-10,37,SE,2.4,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,18,보통,58,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
동대문 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,22000,24000,46,54,0,5,18,23,19,17,12,6,23,77,N,2022-12-19 14:15,2022-12-19 14:51,-2.6,-2.7,-3,-12,44,S,2.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,18,보통,75,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
명동 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,64000,66000,48,52,0,2,19,26,23,16,10,5,32,68,N,2022-12-19 14:15,2022-12-19 14:51,-2.6,-2.7,-3,-12,44,S,2.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,18,좋음,22,보통,78,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
이태원 관광특구,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,9500,10000,46,54,0,2,22,28,19,15,9,5,31,69,N,2022-12-19 14:15,2022-12-19 14:51,-2.9,-2.7,-2,-11,38,E,2,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,15,좋음,25,보통,65,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
잠실 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,62000,64000,44,56,0,16,21,22,17,11,8,4,20,80,N,2022-12-19 14:15,2022-12-19 14:51,-2.4,-2.3,-2,-11,31,SSE,2.2,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,21,좋음,24,보통,63,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
종로·청계 관광특구,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,34000,36000,55,45,0,2,17,18,19,19,15,10,30,70,N,2022-12-19 14:15,2022-12-19 14:51,-2.6,-2.7,-3,-12,44,S,2.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,18,보통,75,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
홍대 관광특구,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,54000,56000,42,58,0,8,35,24,15,9,5,3,28,72,N,2022-12-19 14:15,2022-12-19 14:51,-3.6,-3.9,-2,-10,39,SE,2.5,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,16,좋음,22,보통,53,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
경복궁·서촌마을,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,42,58,0,7,21,20,18,16,10,6,31,69,N,2022-12-19 14:15,2022-12-19 14:51,-2.6,-2.7,-3,-12,44,S,2.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,18,보통,75,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
광화문·덕수궁,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,32000,34000,53,47,0,3,17,26,26,18,8,4,36,64,N,2022-12-19 14:15,2022-12-19 14:51,-2.6,-2.7,-3,-12,44,S,2.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,18,보통,75,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
창덕궁·종묘,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,14000,16000,54,46,0,2,18,21,21,18,13,6,39,61,N,2022-12-19 14:15,2022-12-19 14:51,-2.6,-2.7,-3,-12,44,S,2.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,18,보통,75,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
가산디지털단지역,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,40000,42000,60,40,0,1,24,28,22,15,7,2,48,52,N,2022-12-19 14:15,2022-12-19 14:51,-3.3,-3.1,-2,-9,38,SSE,2,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,9,좋음,21,보통,51,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
강남역,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,70000,72000,47,53,0,5,30,27,18,11,6,3,27,73,N,2022-12-19 14:15,2022-12-19 14:51,-2.8,-3,-2,-10,37,SE,2.4,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,12,보통,44,좋음,50,NO2,대기질에 이상이 없어요.,2022-12-19 14:51
건대입구역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,16000,18000,42,58,0,8,33,18,14,13,9,6,19,81,N,2022-12-19 14:15,2022-12-19 14:51,-2.4,-2.3,-2,-10,31,SSE,2.2,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,14,좋음,19,좋음,43,NO2,대기질에 이상이 없어요.,2022-12-19 14:51
고속터미널역,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,16000,18000,33,67,0,5,19,18,17,19,13,8,13,87,N,2022-12-19 14:15,2022-12-19 14:51,-2.3,-1.1,-2,-11,43,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,12,보통,44,좋음,50,NO2,대기질에 이상이 없어요.,2022-12-19 14:51
교대역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,16000,18000,55,45,0,2,18,25,21,15,11,7,33,67,N,2022-12-19 14:15,2022-12-19 14:51,-2.8,-3,-2,-10,37,SE,2.4,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,12,보통,44,좋음,50,NO2,대기질에 이상이 없어요.,2022-12-19 14:51
구로디지털단지역,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,38000,40000,55,45,0,1,24,29,23,14,6,2,44,56,N,2022-12-19 14:15,2022-12-19 14:51,-3.3,-3.1,-2,-9,38,SSE,2,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,9,좋음,21,보통,51,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
서울역,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,20000,22000,53,47,0,1,20,28,24,16,7,3,42,58,N,2022-12-19 14:15,2022-12-19 14:51,-2.6,-2.7,-3,-12,44,S,2.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,18,좋음,22,보통,78,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
선릉역,매우 붐빔,사람들이 몰려있을 가능성이 매우 크고 많이 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,60000,62000,52,48,0,4,18,27,22,14,9,5,38,62,N,2022-12-19 14:15,2022-12-19 14:51,-2.8,-3,-2,-10,37,SE,2.4,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,18,보통,58,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
신도림역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,4500,5000,37,63,0,4,21,18,16,15,16,9,14,86,N,2022-12-19 14:15,2022-12-19 14:51,-3.7,-3.2,-2,-10,31,N,1.7,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,19,보통,70,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
신림역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,50,50,0,4,30,20,14,14,11,7,20,80,N,2022-12-19 14:15,2022-12-19 14:51,-3.7,-3.2,-2,-10,31,N,1.7,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,14,좋음,23,보통,58,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
신촌·이대역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,22000,24000,40,60,0,7,46,16,10,10,6,4,20,80,N,2022-12-19 14:15,2022-12-19 14:51,-3.6,-3.9,-2,-10,39,SE,2.5,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,9,좋음,21,보통,71,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
역삼역,붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,38000,40000,57,43,0,1,23,33,23,11,6,3,41,59,N,2022-12-19 14:15,2022-12-19 14:51,-2.8,-3,-2,-10,37,SE,2.4,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,10,좋음,18,보통,58,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
연신내역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,6500,7000,43,57,0,10,17,14,14,16,16,13,22,78,N,2022-12-19 14:15,2022-12-19 14:51,-3.7,-3.3,-2,-13,38,NNE,1.8,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,7,좋음,15,좋음,48,NO2,대기질에 이상이 없어요.,2022-12-19 14:51
용산역,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,18000,20000,53,47,0,3,22,26,21,16,9,4,27,73,N,2022-12-19 14:15,2022-12-19 14:51,-2.9,-2.7,-2,-11,38,E,2,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,15,좋음,25,보통,65,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
왕십리역,여유,사람이 몰려있을 가능성이 낮고 붐빔은 거의 느껴지지 않아요. 도보 이동이 자유로워요.,10000,12000,45,55,0,9,32,15,15,13,10,6,20,80,N,2022-12-19 14:15,2022-12-19 14:51,-2.4,-2.3,-2,-10,31,SSE,2.2,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,좋음,8,좋음,21,보통,76,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
DMC(디지털미디어시티),붐빔,사람들이 몰려있을 가능성이 크고 붐빈다고 느낄 수 있어요. 인구밀도가 높은 구간에서는 도보 이동시 부딪힘이 발생할 수 있어요.,26000,28000,51,49,0,4,24,30,24,11,4,2,43,57,N,2022-12-19 14:15,2022-12-19 14:51,-2.5,-1.3,-2,-11,35,SSE,1.3,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,16,좋음,22,보통,53,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
창동 신경제 중심지,보통,사람이 몰려있을 수 있지만 크게 붐비지는 않아요. 도보 이동에 큰 제약이 없어요.,30000,32000,42,58,0,9,19,14,16,19,14,9,26,74,N,2022-12-19 14:15,2022-12-19 14:51,-1.4,-1.3,-2,-13,39,SSE,2.2,-,없음,비 또는 눈 소식이 없어요.,07:42,17:16,1,낮음,햇볕에 민감한 분들은 자외선 차단제를 발라주세요.,보통,19,좋음,23,보통,73,NO2,호흡기가 예민하신 분들은 몸상태 유의하며 활동해주세요.,2022-12-19 14:51
